"name","full_name","birth_date","age","height_cm","weight_kgs","positions","nationality","overall_rating","potential","value_euro","wage_euro","preferred_foot","international_reputation(1-5)","weak_foot(1-5)","skill_moves(1-5)","body_type","release_clause_euro","national_team","national_rating","national_team_position","national_jersey_number","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","freekick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","marking","standing_tackle","sliding_tackle"
"L. Messi","Lionel Andrés Messi Cuccittini","6/24/1987","31","170.18","72.1","CF,RW,ST","Argentina","94","94","1.105E8","565000.0","Left","5","4","4","Messi","226500000","Argentina","82","RF","10","86","95","70","92","86","97","93","94","89","96","91","86","93","95","95","85","68","72","66","94","48","22","94","94","75","96","33","28","26"
"S. Agüero","Sergio Leonel Agüero del Castillo","6/2/1988","30","172.72","69.9","ST","Argentina","89","89","6.45E7","300000.0","Right","4","4","4","Stocky","119300000","Argentina","82","SUB","11","70","93","77","81","85","89","82","73","64","89","88","80","86","90","91","88","81","76","73","83","65","24","92","83","83","90","30","20","12"
"P. Dybala","Paulo Bruno Exequiel Dybala","11/15/1993","25","152.4","74.8","CAM,RW","Argentina","89","94","8.9E7","205000.0","Left","3","3","4","Normal","153500000","Argentina","82","LF","21","82","84","68","87","88","92","88","88","75","92","87","83","91","86","85","82","75","80","65","88","48","32","84","87","86","84","23","20","20"
"G. Higuaín","Gonzalo Gerardo Higuaín","12/10/1987","31","185.42","88.9","ST","Argentina","87","87","4.85E7","205000.0","Right","4","4","3","Normal","","","","","","68","91","79","74","88","83","74","62","59","84","70","72","75","86","69","86","79","70","85","80","50","20","92","74","70","86","35","22","18"
"L. Messi","Lionel Andrés Messi Cuccittini","6/24/1987","31","170.18","72.1","CF,RW,ST","Argentina","94","94","1.105E8","565000.0","Left","5","4","4","Messi","226500000","Argentina","82","RF","10","86","95","70","92","86","97","93","94","89","96","91","86","93","95","95","85","68","72","66","94","48","22","94","94","75","96","33","28","26"
"S. Agüero","Sergio Leonel Agüero del Castillo","6/2/1988","30","172.72","69.9","ST","Argentina","89","89","6.45E7","300000.0","Right","4","4","4","Stocky","119300000","Argentina","82","SUB","11","70","93","77","81","85","89","82","73","64","89","88","80","86","90","91","88","81","76","73","83","65","24","92","83","83","90","30","20","12"
"P. Dybala","Paulo Bruno Exequiel Dybala","11/15/1993","25","152.4","74.8","CAM,RW","Argentina","89","94","8.9E7","205000.0","Left","3","3","4","Normal","153500000","Argentina","82","LF","21","82","84","68","87","88","92","88","88","75","92","87","83","91","86","85","82","75","80","65","88","48","32","84","87","86","84","23","20","20"
"G. Higuaín","Gonzalo Gerardo Higuaín","12/10/1987","31","185.42","88.9","ST","Argentina","87","87","4.85E7","205000.0","Right","4","4","3","Normal","","","","","","68","91","79","74","88","83","74","62","59","84","70","72","75","86","69","86","79","70","85","80","50","20","92","74","70","86","35","22","18"
"L. Messi","Lionel Andrés Messi Cuccittini","6/24/1987","31","170.18","72.1","CF,RW,ST","Argentina","94","94","1.105E8","565000.0","Left","5","4","4","Messi","226500000","Argentina","82","RF","10","86","95","70","92","86","97","93","94","89","96","91","86","93","95","95","85","68","72","66","94","48","22","94","94","75","96","33","28","26"
"S. Agüero","Sergio Leonel Agüero del Castillo","6/2/1988","30","172.72","69.9","ST","Argentina","89","89","6.45E7","300000.0","Right","4","4","4","Stocky","119300000","Argentina","82","SUB","11","70","93","77","81","85","89","82","73","64","89","88","80","86","90","91","88","81","76","73","83","65","24","92","83","83","90","30","20","12"
"P. Dybala","Paulo Bruno Exequiel Dybala","11/15/1993","25","152.4","74.8","CAM,RW","Argentina","89","94","8.9E7","205000.0","Left","3","3","4","Normal","153500000","Argentina","82","LF","21","82","84","68","87","88","92","88","88","75","92","87","83","91","86","85","82","75","80","65","88","48","32","84","87","86","84","23","20","20"
"G. Higuaín","Gonzalo Gerardo Higuaín","12/10/1987","31","185.42","88.9","ST","Argentina","87","87","4.85E7","205000.0","Right","4","4","3","Normal","","","","","","68","91","79","74","88","83","74","62","59","84","70","72","75","86","69","86","79","70","85","80","50","20","92","74","70","86","35","22","18"
